"","x","predictor_number","cv.error"
"1",5,"2 predictors",4.1565722068103
"2",10,"2 predictors",3.73776785866511
"3",20,"2 predictors",3.66433590342152
"4",40,"2 predictors",3.51172295863743
"5",60,"2 predictors",3.48336950315786
"6",80,"2 predictors",3.47966121769764
"7",100,"2 predictors",3.51708730575721
"8",120,"2 predictors",3.56232070136769
"9",140,"2 predictors",3.55839674706619
"10",180,"2 predictors",3.53330970067145
"11",200,"2 predictors",3.48688413599976
"12",220,"2 predictors",3.48391258599109
"13",240,"2 predictors",3.5186318496535
"14",260,"2 predictors",3.49527444904989
"15",280,"2 predictors",3.49219376910839
"16",300,"2 predictors",3.4697832946987
"17",350,"2 predictors",3.48329294411316
"18",400,"2 predictors",3.49883855261998
"19",450,"2 predictors",3.44899685576869
"20",500,"2 predictors",3.49701360944876
"21",5,"4 predictors",3.75481630035726
"22",10,"4 predictors",3.4644112213072
"23",20,"4 predictors",3.21492148423135
"24",40,"4 predictors",3.27564199406855
"25",60,"4 predictors",3.16086859973224
"26",80,"4 predictors",3.2200580298773
"27",100,"4 predictors",3.22032195187078
"28",120,"4 predictors",3.24126112779098
"29",140,"4 predictors",3.1813577830696
"30",180,"4 predictors",3.22136408659276
"31",200,"4 predictors",3.16943056991938
"32",220,"4 predictors",3.22901784042463
"33",240,"4 predictors",3.16965945672454
"34",260,"4 predictors",3.15689622325857
"35",280,"4 predictors",3.20076030202027
"36",300,"4 predictors",3.147349004841
"37",350,"4 predictors",3.18454621194782
"38",400,"4 predictors",3.18012075238964
"39",450,"4 predictors",3.1343256445379
"40",500,"4 predictors",3.13798347896377
"41",5,"6 predictors",3.49251640806923
"42",10,"6 predictors",3.13069270801841
"43",20,"6 predictors",3.23065658631487
"44",40,"6 predictors",3.10250698689318
"45",60,"6 predictors",3.14621771211762
"46",80,"6 predictors",3.17412466339216
"47",100,"6 predictors",3.13252042773105
"48",120,"6 predictors",3.07322902359828
"49",140,"6 predictors",3.16606092153843
"50",180,"6 predictors",3.20787189456095
"51",200,"6 predictors",3.1410560973249
"52",220,"6 predictors",3.12950373818978
"53",240,"6 predictors",3.14480032644374
"54",260,"6 predictors",3.15558305654386
"55",280,"6 predictors",3.14676152502712
"56",300,"6 predictors",3.14081615558259
"57",350,"6 predictors",3.14659242944267
"58",400,"6 predictors",3.1297912068152
"59",450,"6 predictors",3.12162101467451
"60",500,"6 predictors",3.14048519471983
